Date,SP500
23/07/2012,1350.52
24/07/2012,1338.31
25/07/2012,1337.89
26/07/2012,1360.02
27/07/2012,1385.97
30/07/2012,1385.3
31/07/2012,1379.32
01/08/2012,1375.14
02/08/2012,1365
03/08/2012,1390.99
06/08/2012,1394.23
07/08/2012,1401.35
08/08/2012,1402.22
09/08/2012,1402.8
10/08/2012,1405.87
13/08/2012,1404.11
14/08/2012,1403.93
15/08/2012,1405.53
16/08/2012,1415.51
17/08/2012,1418.16
20/08/2012,1418.13
21/08/2012,1413.17
22/08/2012,1413.49
23/08/2012,1402.08
24/08/2012,1411.13
27/08/2012,1410.44
28/08/2012,1409.3
29/08/2012,1410.49
30/08/2012,1399.48
31/08/2012,1406.58
03/09/2012,.
04/09/2012,1404.94
05/09/2012,1403.44
06/09/2012,1432.12
07/09/2012,1437.92
10/09/2012,1429.08
11/09/2012,1433.56
12/09/2012,1436.56
13/09/2012,1459.99
14/09/2012,1465.77
17/09/2012,1461.19
18/09/2012,1459.32
19/09/2012,1461.05
20/09/2012,1460.26
21/09/2012,1460.15
24/09/2012,1456.89
25/09/2012,1441.59
26/09/2012,1433.32
27/09/2012,1447.15
28/09/2012,1440.67
01/10/2012,1444.49
02/10/2012,1445.75
03/10/2012,1450.99
04/10/2012,1461.4
05/10/2012,1460.93
08/10/2012,1455.88
09/10/2012,1441.48
10/10/2012,1432.56
11/10/2012,1432.84
12/10/2012,1428.59
15/10/2012,1440.13
16/10/2012,1454.92
17/10/2012,1460.91
18/10/2012,1457.34
19/10/2012,1433.19
22/10/2012,1433.82
23/10/2012,1413.11
24/10/2012,1408.75
25/10/2012,1412.97
26/10/2012,1411.94
29/10/2012,.
30/10/2012,.
31/10/2012,1412.16
01/11/2012,1427.59
02/11/2012,1414.2
05/11/2012,1417.26
06/11/2012,1428.39
07/11/2012,1394.53
08/11/2012,1377.51
09/11/2012,1379.85
12/11/2012,1380.03
13/11/2012,1374.53
14/11/2012,1355.49
15/11/2012,1353.33
16/11/2012,1359.88
19/11/2012,1386.89
20/11/2012,1387.81
21/11/2012,1391.03
22/11/2012,.
23/11/2012,1409.15
26/11/2012,1406.29
27/11/2012,1398.94
28/11/2012,1409.93
29/11/2012,1415.95
30/11/2012,1416.18
03/12/2012,1409.46
04/12/2012,1407.05
05/12/2012,1409.28
06/12/2012,1413.94
07/12/2012,1418.07
10/12/2012,1418.55
11/12/2012,1427.84
12/12/2012,1428.48
13/12/2012,1419.45
14/12/2012,1413.58
17/12/2012,1430.36
18/12/2012,1446.79
19/12/2012,1435.81
20/12/2012,1443.69
21/12/2012,1430.15
24/12/2012,1426.66
25/12/2012,.
26/12/2012,1419.83
27/12/2012,1418.1
28/12/2012,1402.43
31/12/2012,1426.19
01/01/2013,.
02/01/2013,1462.42
03/01/2013,1459.37
04/01/2013,1466.47
07/01/2013,1461.89
08/01/2013,1457.15
09/01/2013,1461.02
10/01/2013,1472.12
11/01/2013,1472.05
14/01/2013,1470.68
15/01/2013,1472.34
16/01/2013,1472.63
17/01/2013,1480.94
18/01/2013,1485.98
21/01/2013,.
22/01/2013,1492.56
23/01/2013,1494.81
24/01/2013,1494.82
25/01/2013,1502.96
28/01/2013,1500.18
29/01/2013,1507.84
30/01/2013,1501.96
31/01/2013,1498.11
01/02/2013,1513.17
04/02/2013,1495.71
05/02/2013,1511.29
06/02/2013,1512.12
07/02/2013,1509.39
08/02/2013,1517.93
11/02/2013,1517.01
12/02/2013,1519.43
13/02/2013,1520.33
14/02/2013,1521.38
15/02/2013,1519.79
